
PUNCH_LEFT | Vel:0.031 | Z-Rel:-0.022 | Z-Move:0.017 | Y-Move:0.026 | Z-Dom:False | Ext:False
PUNCH_RIGHT | Vel:0.269 | Z-Rel:-0.419 | Z-Move:0.241 | Y-Move:0.119 | Z-Dom:True | Ext:False
PUNCH_RIGHT | Vel:0.177 | Z-Rel:-0.504 | Z-Move:0.085 | Y-Move:0.154 | Z-Dom:False | Ext:True
PUNCH_RIGHT | Vel:0.040 | Z-Rel:-0.521 | Z-Move:0.017 | Y-Move:0.035 | Z-Dom:False | Ext:True
PUNCH_LEFT | Vel:0.111 | Z-Rel:-0.640 | Z-Move:0.111 | Y-Move:0.001 | Z-Dom:True | Ext:False
PUNCH_RIGHT | Vel:0.118 | Z-Rel:-0.562 | Z-Move:0.118 | Y-Move:0.003 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.042 | Z-Rel:-0.516 | Z-Move:0.041 | Y-Move:0.007 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.119 | Z-Rel:-0.562 | Z-Move:0.119 | Y-Move:0.008 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.022 | Z-Rel:-0.527 | Z-Move:0.018 | Y-Move:0.012 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.032 | Z-Rel:-0.501 | Z-Move:0.032 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.027 | Z-Rel:-0.546 | Z-Move:0.027 | Y-Move:0.003 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.056 | Z-Rel:-0.333 | Z-Move:0.001 | Y-Move:0.056 | Z-Dom:False | Ext:True
PUNCH_LEFT | Vel:0.068 | Z-Rel:-0.286 | Z-Move:0.054 | Y-Move:0.041 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.054 | Z-Rel:-0.365 | Z-Move:0.054 | Y-Move:0.006 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.223 | Z-Rel:-0.472 | Z-Move:0.222 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.032 | Z-Rel:-0.346 | Z-Move:0.031 | Y-Move:0.006 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.029 | Z-Rel:-0.120 | Z-Move:0.028 | Y-Move:0.006 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.041 | Z-Rel:-0.158 | Z-Move:0.041 | Y-Move:0.001 | Z-Dom:True | Ext:False
PUNCH_RIGHT | Vel:0.065 | Z-Rel:-0.369 | Z-Move:0.065 | Y-Move:0.002 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.038 | Z-Rel:-0.191 | Z-Move:0.038 | Y-Move:0.000 | Z-Dom:True | Ext:False
PUNCH_RIGHT | Vel:0.058 | Z-Rel:-0.404 | Z-Move:0.058 | Y-Move:0.002 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.022 | Z-Rel:-0.184 | Z-Move:0.022 | Y-Move:0.000 | Z-Dom:True | Ext:False
PUNCH_RIGHT | Vel:0.024 | Z-Rel:-0.415 | Z-Move:0.024 | Y-Move:0.000 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.024 | Z-Rel:-0.417 | Z-Move:0.024 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.031 | Z-Rel:-0.243 | Z-Move:0.031 | Y-Move:0.000 | Z-Dom:True | Ext:False
PUNCH_RIGHT | Vel:0.042 | Z-Rel:-0.458 | Z-Move:0.042 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.051 | Z-Rel:-0.251 | Z-Move:0.048 | Y-Move:0.011 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.033 | Z-Rel:-0.262 | Z-Move:0.025 | Y-Move:0.019 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.203 | Z-Rel:-0.462 | Z-Move:0.170 | Y-Move:0.107 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.077 | Z-Rel:-0.530 | Z-Move:0.053 | Y-Move:0.036 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.150 | Z-Rel:-0.544 | Z-Move:0.150 | Y-Move:0.003 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.050 | Z-Rel:-0.576 | Z-Move:0.047 | Y-Move:0.015 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.040 | Z-Rel:-0.573 | Z-Move:0.040 | Y-Move:0.003 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.045 | Z-Rel:-0.462 | Z-Move:0.045 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.016 | Z-Rel:-0.377 | Z-Move:0.005 | Y-Move:0.015 | Z-Dom:False | Ext:True
PUNCH_RIGHT | Vel:0.034 | Z-Rel:-0.495 | Z-Move:0.034 | Y-Move:0.000 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.031 | Z-Rel:-0.519 | Z-Move:0.031 | Y-Move:0.000 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.020 | Z-Rel:-0.291 | Z-Move:0.020 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.046 | Z-Rel:-0.564 | Z-Move:0.046 | Y-Move:0.000 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.016 | Z-Rel:-0.274 | Z-Move:0.016 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.040 | Z-Rel:-0.585 | Z-Move:0.040 | Y-Move:0.000 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.026 | Z-Rel:-0.591 | Z-Move:0.026 | Y-Move:0.000 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.055 | Z-Rel:-0.218 | Z-Move:0.055 | Y-Move:0.000 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.051 | Z-Rel:-0.434 | Z-Move:0.040 | Y-Move:0.015 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.109 | Z-Rel:-0.498 | Z-Move:0.039 | Y-Move:0.102 | Z-Dom:False | Ext:True
PUNCH_RIGHT | Vel:0.042 | Z-Rel:-0.530 | Z-Move:0.005 | Y-Move:0.042 | Z-Dom:False | Ext:True
PUNCH_LEFT | Vel:0.023 | Z-Rel:-0.228 | Z-Move:0.022 | Y-Move:0.004 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.066 | Z-Rel:-0.589 | Z-Move:0.063 | Y-Move:0.021 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.056 | Z-Rel:-0.590 | Z-Move:0.056 | Y-Move:0.008 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.020 | Z-Rel:-0.593 | Z-Move:0.019 | Y-Move:0.005 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.075 | Z-Rel:-0.240 | Z-Move:0.075 | Y-Move:0.003 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.039 | Z-Rel:-0.277 | Z-Move:0.039 | Y-Move:0.005 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.081 | Z-Rel:-0.342 | Z-Move:0.081 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.028 | Z-Rel:-0.618 | Z-Move:0.026 | Y-Move:0.010 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.097 | Z-Rel:-0.381 | Z-Move:0.091 | Y-Move:0.000 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.030 | Z-Rel:-0.397 | Z-Move:0.027 | Y-Move:0.000 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.038 | Z-Rel:-0.425 | Z-Move:0.033 | Y-Move:0.007 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.029 | Z-Rel:-0.435 | Z-Move:0.009 | Y-Move:0.025 | Z-Dom:False | Ext:True
PUNCH_LEFT | Vel:0.089 | Z-Rel:-0.419 | Z-Move:0.087 | Y-Move:0.012 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.066 | Z-Rel:-0.528 | Z-Move:0.062 | Y-Move:0.020 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.117 | Z-Rel:-0.536 | Z-Move:0.114 | Y-Move:0.027 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.022 | Z-Rel:-0.546 | Z-Move:0.017 | Y-Move:0.004 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.016 | Z-Rel:-0.530 | Z-Move:0.016 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.025 | Z-Rel:-0.360 | Z-Move:0.015 | Y-Move:0.003 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.065 | Z-Rel:-0.487 | Z-Move:0.064 | Y-Move:0.003 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.037 | Z-Rel:-0.355 | Z-Move:0.012 | Y-Move:0.029 | Z-Dom:False | Ext:True
PUNCH_RIGHT | Vel:0.046 | Z-Rel:-0.509 | Z-Move:0.045 | Y-Move:0.005 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.018 | Z-Rel:-0.353 | Z-Move:0.006 | Y-Move:0.015 | Z-Dom:False | Ext:True
PUNCH_LEFT | Vel:0.113 | Z-Rel:-0.338 | Z-Move:0.112 | Y-Move:0.002 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.071 | Z-Rel:-0.424 | Z-Move:0.067 | Y-Move:0.023 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.063 | Z-Rel:-0.352 | Z-Move:0.057 | Y-Move:0.017 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.149 | Z-Rel:-0.565 | Z-Move:0.149 | Y-Move:0.007 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.030 | Z-Rel:-0.599 | Z-Move:0.030 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.036 | Z-Rel:-0.321 | Z-Move:0.001 | Y-Move:0.002 | Z-Dom:False | Ext:True
PUNCH_LEFT | Vel:0.039 | Z-Rel:-0.307 | Z-Move:0.033 | Y-Move:0.003 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.029 | Z-Rel:-0.607 | Z-Move:0.028 | Y-Move:0.006 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.062 | Z-Rel:-0.361 | Z-Move:0.062 | Y-Move:0.000 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.019 | Z-Rel:-0.633 | Z-Move:0.018 | Y-Move:0.007 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.057 | Z-Rel:-0.364 | Z-Move:0.055 | Y-Move:0.013 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.046 | Z-Rel:-0.644 | Z-Move:0.046 | Y-Move:0.002 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.042 | Z-Rel:-0.420 | Z-Move:0.042 | Y-Move:0.003 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.055 | Z-Rel:-0.682 | Z-Move:0.054 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.019 | Z-Rel:-0.361 | Z-Move:0.005 | Y-Move:0.010 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.049 | Z-Rel:-0.473 | Z-Move:0.005 | Y-Move:0.019 | Z-Dom:False | Ext:True
PUNCH_LEFT | Vel:0.062 | Z-Rel:-0.466 | Z-Move:0.059 | Y-Move:0.017 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.029 | Z-Rel:-0.496 | Z-Move:0.018 | Y-Move:0.003 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.028 | Z-Rel:-0.445 | Z-Move:0.028 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.041 | Z-Rel:-0.416 | Z-Move:0.017 | Y-Move:0.034 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.034 | Z-Rel:-0.322 | Z-Move:0.029 | Y-Move:0.015 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.133 | Z-Rel:-0.605 | Z-Move:0.110 | Y-Move:0.007 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.106 | Z-Rel:-0.428 | Z-Move:0.106 | Y-Move:0.000 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.076 | Z-Rel:-0.716 | Z-Move:0.070 | Y-Move:0.000 | Z-Dom:True | Ext:True
